JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10227,TlPS3,71,Immm,orthorhombic,3D,1.6498,2.4144,-281.50057,310.89109,1883.055736,1447.288692,23620.95,15107.61133,0.93187438,0.756127927,1.348816848,1.348816848,-316.56961,347.4062867
JVASP-10228,Na5ReO6,12,C2/m,monoclinic,3D,2.3064,3.0495,-352.3740267,526.60023,1293.383848,279.5908912,10437.46733,1029.870833,0.711776026,0.166940496,1.9656994,1.9656994,-363.6778767,524.9549267
JVASP-10229,Na2ZnS2,72,Ibam,orthorhombic,3D,2.5185,4.4437,-73.28545233,352.1615767,476.3527172,1333.376662,88750.38733,10760.975,0.131043219,0.734767157,0.255579119,0.255579119,-73.608704,365.3459567
JVASP-10230,K2P3,69,Fmmm,orthorhombic,3D,0.6956,1.2195,-224.27637,172.2683167,1056.400817,1075.021075,20671.904,30983.183,0.494673415,0.444973658,1.160140036,1.160140036,-221.11258,200.41672
JVASP-10231,KNa2BO3,59,Pmmn,orthorhombic,3D,3.1996,na,-173.2573533,334.3438133,1252.767434,948.2820539,41682.103,8010.448733,0.508730413,0.519516113,0.869053443,0.869053443,-128.5612033,341.7843633
JVASP-10232,KPS3,71,Immm,orthorhombic,3D,1.6167,2.506,-272.2418367,280.8029267,1926.629755,1974.576429,26309.25367,24912.94433,0.922800554,0.890089263,1.20947699,1.20947699,-293.0384633,296.8634967
JVASP-10233,Lu2CdS4,227,Fd-3m,cubic,3D,1.2126,2.3335,-73.48403733,308.29298,460.1385885,2348.222958,85212.36867,24706.54733,0.129900744,1.124946841,0.256317764,0.256317764,-74.561327,307.17113
JVASP-10234,CdGeO3,148,R-3,trigonal,3D,1.6057,na,-61.13973367,477.67244,402.0362437,1150.914417,107567.6933,4985.858933,0.097563508,0.663074365,0.198814402,0.198814402,-56.88563233,486.4952
JVASP-10235,ZnGeO3,148,R-3,trigonal,3D,2.3732,4.062,-69.239692,465.41281,455.0261313,1095.041577,94903.52967,5025.415933,0.119078935,0.631463011,0.234878665,0.234878665,-65.005375,474.33871
JVASP-10239,BaMnS2,62,Pnma,orthorhombic,3D,0.0013,na,-255.19769,186.9953767,659.4343626,922.1993241,10484.23727,24903.82383,0.283578802,0.347591218,0.040171343,0.040171343,-294.13256,228.9493233
